CANTON_FINAL,CANTON_DEF,CURSO,CURSO_NORMALIZADO,CONVOCATORIA,AÑO,SEXO_FINAL,SEXO_NORMALIZADO,EDAD,EDAD_CLASIFICADA,BENEFICIARIO,CERTIFICADO,DESERCION,INTERMITENTE,EDICION,__HOJA_ORIGEN__,__FECHA_ETL__,__FILAS_ETL__
San Carlos,San Carlos,excel,excel,1.0,2023,Sexo,Sexo,30-39,Sin dato,0,0,0,0,excel-1-2023,mayo2026v4,2026-05-22 14:17:58,12684
Desamparados,Desamparados,excel,excel,1.0,2023,Sexo,Sexo,18,Sin dato,0,0,0,0,excel-1-2023,mayo2026v4,2026-05-22 14:17:58,12684
Goicoechea,Goicoechea,excel,excel,2.0,2023,Masculino,Masculino,15,Sin dato,0,0,0,0,excel-2-2023,mayo2026v4,2026-05-22 14:17:58,12684
San José,San José,admision,admision,1.0,2024,Femenino,Femenino,17,Sin dato,0,0,0,0,admision-1-2024,mayo2026v4,2026-05-22 14:17:58,12684
San José,San José,admision,admision,2.0,2024,Femenino,Femenino,17,Sin dato,0,0,0,0,admision-2-2024,mayo2026v4,2026-05-22 14:17:58,12684
Paraíso,Paraíso,excel,excel,1.0,2023,Sexo,Sexo,15,Sin dato,0,0,0,0,excel-1-2023,mayo2026v4,2026-05-22 14:17:58,12684
San Carlos,San Carlos,excel,excel,1.0,2023,Sexo,Sexo,30-39,Sin dato,0,0,0,0,excel-1-2023,mayo2026v4,2026-05-22 14:17:58,12684
San José,San José,excel,excel,1.0,2023,Sexo,Sexo,17,Sin dato,0,0,0,0,excel-1-2023,mayo2026v4,2026-05-22 14:17:58,12684
San José,San José,admision,admision,2.0,2024,Masculino,Masculino,18,Sin dato,0,0,0,0,admision-2-2024,mayo2026v4,2026-05-22 14:17:58,12684
San José,San José,admision,admision,1.0,2024,Masculino,Masculino,17,Sin dato,0,0,0,0,admision-1-2024,mayo2026v4,2026-05-22 14:17:58,12684
San José,San José,admision,admision,2.0,2024,Masculino,Masculino,17,Sin dato,0,0,0,0,admision-2-2024,mayo2026v4,2026-05-22 14:17:58,12684
San José,San José,admision,admision,1.0,2024,Masculino,Masculino,17,Sin dato,0,0,0,0,admision-1-2024,mayo2026v4,2026-05-22 14:17:58,12684
San José,San José,admision,admision,2.0,2024,Masculino,Masculino,17,Sin dato,0,0,0,0,admision-2-2024,mayo2026v4,2026-05-22 14:17:58,12684
Naranjo,Naranjo,redaccion,redaccion,3.0,2023,Sexo,Sexo,15,Sin dato,0,0,0,0,redaccion-3-2023,mayo2026v4,2026-05-22 14:17:58,12684
Cartago,Cartago,excelbasico,excelbasico,1.0,2024,Masculino,Masculino,20-29,Sin dato,0,0,0,0,excelbasico-1-2024,mayo2026v4,2026-05-22 14:17:58,12684
San Carlos,San Carlos,excel,excel,1.0,2023,Sexo,Sexo,30-39,Sin dato,0,0,0,0,excel-1-2023,mayo2026v4,2026-05-22 14:17:58,12684
Desamparados,Desamparados,excel,excel,1.0,2023,Sexo,Sexo,50+,Sin dato,0,0,0,0,excel-1-2023,mayo2026v4,2026-05-22 14:17:58,12684
San José,San José,admision,admision,2.0,2024,Femenino,Femenino,18,Sin dato,0,0,0,0,admision-2-2024,mayo2026v4,2026-05-22 14:17:58,12684
San José,San José,admision,admision,1.0,2024,Femenino,Femenino,17,Sin dato,0,0,0,0,admision-1-2024,mayo2026v4,2026-05-22 14:17:58,12684
San José,San José,admision,admision,2.0,2024,Femenino,Femenino,17,Sin dato,0,0,0,0,admision-2-2024,mayo2026v4,2026-05-22 14:17:58,12684
Pococí,Pococí,excelbasico,excelbasico,3.0,2024,Masculino,Masculino,19-35,Sin dato,0,0,0,0,excelbasico-3-2024,mayo2026v4,2026-05-22 14:17:58,12684
Palmares,Palmares,excel,excel,1.0,2023,Sexo,Sexo,16,Sin dato,0,0,0,0,excel-1-2023,mayo2026v4,2026-05-22 14:17:58,12684
San Carlos,San Carlos,admision,admision,1.0,2024,Femenino,Femenino,16,Sin dato,0,0,0,0,admision-1-2024,mayo2026v4,2026-05-22 14:17:58,12684
San Carlos,San Carlos,admision,admision,2.0,2024,Femenino,Femenino,16,Sin dato,0,0,0,0,admision-2-2024,mayo2026v4,2026-05-22 14:17:58,12684
San José,San José,admision,admision,1.0,2024,Masculino,Masculino,16,Sin dato,0,0,0,0,admision-1-2024,mayo2026v4,2026-05-22 14:17:58,12684
San José,San José,admision,admision,2.0,2024,Masculino,Masculino,16,Sin dato,0,0,0,0,admision-2-2024,mayo2026v4,2026-05-22 14:17:58,12684
Desamparados,Desamparados,excelbasico,excelbasico,1.0,2024,Masculino,Masculino,15-19,Sin dato,0,0,0,0,excelbasico-1-2024,mayo2026v4,2026-05-22 14:17:58,12684
El Guarco,El Guarco,excelintermedio,excelintermedio,2.0,2024,Femenino,Femenino,19-35,Sin dato,0,0,0,0,excelintermedio-2-2024,mayo2026v4,2026-05-22 14:17:58,12684
Cartago,Cartago,excel,excel,1.0,2023,Sexo,Sexo,20-29,Sin dato,0,0,0,0,excel-1-2023,mayo2026v4,2026-05-22 14:17:58,12684
San José,San José,admision,admision,2.0,2024,Femenino,Femenino,17,Sin dato,0,0,0,0,admision-2-2024,mayo2026v4,2026-05-22 14:17:58,12684
Siquirres,Siquirres,excel,excel,1.0,2023,Sexo,Sexo,16,Sin dato,0,0,0,0,excel-1-2023,mayo2026v4,2026-05-22 14:17:58,12684
San José,San José,admision,admision,1.0,2024,Masculino,Masculino,17,Sin dato,0,0,0,0,admision-1-2024,mayo2026v4,2026-05-22 14:17:58,12684
San José,San José,admision,admision,2.0,2024,Masculino,Masculino,17,Sin dato,0,0,0,0,admision-2-2024,mayo2026v4,2026-05-22 14:17:58,12684
Aserrí,Aserrí,excelintermedio,excelintermedio,2.0,2024,Femenino,Femenino,36-64,Sin dato,0,0,0,0,excelintermedio-2-2024,mayo2026v4,2026-05-22 14:17:58,12684
San José,San José,admision,admision,2.0,2024,Femenino,Femenino,17,Sin dato,0,0,0,0,admision-2-2024,mayo2026v4,2026-05-22 14:17:58,12684
San José,San José,redaccion,redaccion,1.0,2023,Sexo,Sexo,17,Sin dato,0,0,0,0,redaccion-1-2023,mayo2026v4,2026-05-22 14:17:58,12684
San José,San José,admision,admision,1.0,2024,Femenino,Femenino,16,Sin dato,0,0,0,0,admision-1-2024,mayo2026v4,2026-05-22 14:17:58,12684
San José,San José,admision,admision,2.0,2024,Femenino,Femenino,16,Sin dato,0,0,0,0,admision-2-2024,mayo2026v4,2026-05-22 14:17:58,12684
San José,San José,admision,admision,1.0,2024,Femenino,Femenino,17,Sin dato,0,0,0,0,admision-1-2024,mayo2026v4,2026-05-22 14:17:58,12684
San José,San José,admision,admision,2.0,2024,Femenino,Femenino,17,Sin dato,0,0,0,0,admision-2-2024,mayo2026v4,2026-05-22 14:17:58,12684
San José,San José,admision,admision,1.0,2024,Femenino,Femenino,16,Sin dato,0,0,0,0,admision-1-2024,mayo2026v4,2026-05-22 14:17:58,12684
San José,San José,admision,admision,2.0,2024,Femenino,Femenino,16,Sin dato,0,0,0,0,admision-2-2024,mayo2026v4,2026-05-22 14:17:58,12684
San José,San José,admision,admision,1.0,2024,Femenino,Femenino,17,Sin dato,0,0,0,0,admision-1-2024,mayo2026v4,2026-05-22 14:17:58,12684
San José,San José,admision,admision,2.0,2024,Femenino,Femenino,17,Sin dato,0,0,0,0,admision-2-2024,mayo2026v4,2026-05-22 14:17:58,12684
Heredia,Heredia,redaccion,redaccion,1.0,2023,Sexo,Sexo,17,Sin dato,0,0,0,0,redaccion-1-2023,mayo2026v4,2026-05-22 14:17:58,12684
Tilarán,Tilarán,excel,excel,1.0,2023,Sexo,Sexo,18,Sin dato,0,0,0,0,excel-1-2023,mayo2026v4,2026-05-22 14:17:58,12684
Cartago,Cartago,excel,excel,1.0,2023,Sexo,Sexo,20-29,Sin dato,0,0,0,0,excel-1-2023,mayo2026v4,2026-05-22 14:17:58,12684
San José,San José,admision,admision,1.0,2024,Femenino,Femenino,18,Sin dato,0,0,0,0,admision-1-2024,mayo2026v4,2026-05-22 14:17:58,12684
San José,San José,admision,admision,2.0,2024,Femenino,Femenino,18,Sin dato,0,0,0,0,admision-2-2024,mayo2026v4,2026-05-22 14:17:58,12684
San José,San José,admision,admision,1.0,2024,Femenino,Femenino,17,Sin dato,0,0,0,0,admision-1-2024,mayo2026v4,2026-05-22 14:17:58,12684
San José,San José,admision,admision,2.0,2024,Femenino,Femenino,17,Sin dato,0,0,0,0,admision-2-2024,mayo2026v4,2026-05-22 14:17:58,12684
Desamparados,Desamparados,excel,excel,1.0,2023,Sexo,Sexo,19,Sin dato,0,0,0,0,excel-1-2023,mayo2026v4,2026-05-22 14:17:58,12684
San José,San José,admision,admision,2.0,2024,Femenino,Femenino,17,Sin dato,0,0,0,0,admision-2-2024,mayo2026v4,2026-05-22 14:17:58,12684
San Ramón,San Ramón,excel,excel,1.0,2023,Sexo,Sexo,17,Sin dato,0,0,0,0,excel-1-2023,mayo2026v4,2026-05-22 14:17:58,12684
San José,San José,admision,admision,1.0,2024,Femenino,Femenino,16,Sin dato,0,0,0,0,admision-1-2024,mayo2026v4,2026-05-22 14:17:58,12684
Goicoechea,Goicoechea,excel,excel,2.0,2023,Femenino,Femenino,50+,Sin dato,0,0,0,0,excel-2-2023,mayo2026v4,2026-05-22 14:17:58,12684
Paraíso,Paraíso,excel,excel,1.0,2023,Sexo,Sexo,18,Sin dato,0,0,0,0,excel-1-2023,mayo2026v4,2026-05-22 14:17:58,12684
Heredia,Heredia,admision,admision,1.0,2024,Femenino,Femenino,17,Sin dato,0,0,0,0,admision-1-2024,mayo2026v4,2026-05-22 14:17:58,12684
San José,San José,admision,admision,1.0,2024,Femenino,Femenino,17,Sin dato,0,0,0,0,admision-1-2024,mayo2026v4,2026-05-22 14:17:58,12684
San José,San José,admision,admision,2.0,2024,Femenino,Femenino,17,Sin dato,0,0,0,0,admision-2-2024,mayo2026v4,2026-05-22 14:17:58,12684
San Carlos,San Carlos,excel,excel,1.0,2023,Sexo,Sexo,19,Sin dato,0,0,0,0,excel-1-2023,mayo2026v4,2026-05-22 14:17:58,12684
San José,San José,admision,admision,1.0,2024,Femenino,Femenino,17,Sin dato,0,0,0,0,admision-1-2024,mayo2026v4,2026-05-22 14:17:58,12684
San José,San José,admision,admision,2.0,2024,Femenino,Femenino,17,Sin dato,0,0,0,0,admision-2-2024,mayo2026v4,2026-05-22 14:17:58,12684
San José,San José,admision,admision,2.0,2024,Masculino,Masculino,17,Sin dato,0,0,0,0,admision-2-2024,mayo2026v4,2026-05-22 14:17:58,12684
Cartago,Cartago,excel,excel,1.0,2023,Sexo,Sexo,40-49,Sin dato,0,0,0,0,excel-1-2023,mayo2026v4,2026-05-22 14:17:58,12684
San José,San José,admision,admision,2.0,2024,Femenino,Femenino,17,Sin dato,0,0,0,0,admision-2-2024,mayo2026v4,2026-05-22 14:17:58,12684
San José,San José,admision,admision,1.0,2024,Femenino,Femenino,17,Sin dato,0,0,0,0,admision-1-2024,mayo2026v4,2026-05-22 14:17:58,12684
San José,San José,admision,admision,2.0,2024,Femenino,Femenino,17,Sin dato,0,0,0,0,admision-2-2024,mayo2026v4,2026-05-22 14:17:58,12684
Desamparados,Desamparados,excel,excel,1.0,2023,Sexo,Sexo,50+,Sin dato,0,0,0,0,excel-1-2023,mayo2026v4,2026-05-22 14:17:58,12684
